signal_strength,packet_loss,temperature,bandwidth_usage,cpu_usage,latency,active_users,power_voltage,status
88,7.2761494484862705,34.70362934480912,67.12335533872515,45.83011773179809,153.61341365100466,474,234.73540194053498,FAILURE
50,5.514735856155707,90.23305694922311,35.05236352943081,88.15980014560127,156.67859117453744,669,227.94682329943134,FAILURE
79,7.430338550584338,79.64257446059534,81.20131257245572,65.34317475889273,100.43538504960459,771,240.01615340881355,FAILURE
67,1.6737752785819116,72.27077737632001,54.09524910846152,50.225701404114695,26.599252577538273,663,203.21154555816034,WARNING
61,5.875063412927545,93.01384713123042,51.47643653035766,27.896297710355633,238.26003668804898,552,180.61473306878398,FAILURE
93,6.27980675624507,38.35681098049787,51.91666192053612,86.44553774527006,258.97721226302167,17,210.37604512430178,FAILURE
48,8.763844163676106,48.73907543790458,26.23187734169924,36.5941693985141,220.70450064675015,967,182.40406137927067,FAILURE
80,3.5738827150581898,58.98858025797579,65.96825056999218,46.38571737036505,259.345571871985,635,204.6649901222344,FAILURE
59,6.869475161873302,54.96476702451449,83.1973759936283,47.348531882983075,270.8404621244544,797,183.74386967875915,FAILURE
40,9.15058916939815,26.53840634052172,48.33308177946516,32.366150880304275,177.99235208402098,745,198.76175045797393,FAILURE
45,6.978164566161046,70.77765206952577,40.20327730437272,57.265332441639615,202.48082234738368,410,222.91026527377193,WARNING
84,8.955295396122114,35.1704166574699,21.524923934098336,71.01990285730876,16.853254581568443,209,208.72826133608723,FAILURE
71,2.8125772704736063,43.377265547064525,19.328281610678136,27.13383680768299,41.26478378315871,396,206.1683897034202,NORMAL
97,5.5695254517830675,70.72634557388002,96.63175534199213,99.63079164474668,293.6233077953767,953,182.98514353890624,FAILURE
68,0.644708794004013,54.89368112409296,41.433106479100104,82.63570284941932,67.15176092709748,595,242.2124942103818,NORMAL
48,9.461877514731029,38.85473179231985,54.8808095057403,64.37359557989832,116.82083776019479,277,238.42277594652364,FAILURE
67,2.942452514862166,76.81712862997638,83.4144811512772,46.54394930572895,248.62840784587914,761,226.9559900833269,WARNING
75,6.445823228626074,41.01371271732738,87.90951440005239,75.38721250649198,213.5955927584193,574,232.00864634797705,WARNING
92,7.7400417487178625,44.63826106326995,94.40075436972226,15.112280766442133,128.00781905415812,351,203.2161964191591,FAILURE
95,5.6782545879557,61.83562018917496,20.8988306175763,21.788801654568505,213.98064467314123,406,238.71285028669263,WARNING
62,0.05910437922134304,61.74812716999563,59.38713869588464,80.73678347274318,39.15074774416404,240,181.9334062317001,FAILURE
82,3.187417634773545,68.72643402544595,81.38626722900692,19.97725295758466,31.530832917934866,601,212.11018072584454,WARNING
40,9.179122323687535,49.99537458598482,82.14776276962891,28.212756734556873,115.46259626860368,817,224.62413388125128,FAILURE
62,2.939054410470203,69.3460893026419,73.25224595730432,60.2361287719986,223.65743719928795,689,182.31561085087375,FAILURE
42,0.4667575350149855,36.72477066484399,22.951727889138105,33.82530425456873,220.72388832946743,204,250.2197767814032,WARNING
47,9.034551292245727,68.25693503438028,42.30488993658755,61.212226067204725,185.51311468849534,40,221.12186495787174,FAILURE
86,0.11507578358498693,49.631535497228995,72.56747492963012,52.404477171436795,137.9771747050231,338,195.2997687142159,NORMAL
87,5.251378513072621,81.04277726503716,24.388450302303028,61.41757396271646,193.57907915017418,452,234.501164035369,FAILURE
61,7.759065889262974,35.96868178116051,26.611589071994523,65.08746498422605,134.5343860576066,348,215.14823195822808,FAILURE
55,7.896390456180619,64.98175865535381,93.1802571683289,29.26342718116401,65.8451690714085,880,236.7109612251301,FAILURE
72,4.237306752041404,51.6780833160428,95.45624625649043,67.5528773851679,249.51445939486595,614,193.63411356842093,WARNING
53,3.9821817805653312,52.91313512308499,57.118290667258876,30.571159185738544,105.91092451852451,843,224.55768043347416,NORMAL
41,3.006847600348599,61.421929263794866,93.22519313570653,83.33052404112715,221.22748572693416,137,227.68641224629252,WARNING
46,2.9953270232024263,82.02683476451978,49.159007811456874,53.23959349301383,255.43034718413986,374,193.93655109902474,FAILURE
62,7.899043971168749,87.92903223665336,71.04653862486671,28.31414197215095,298.4387869561333,456,223.0210628564269,FAILURE
66,7.986327569596147,75.01989518625152,70.38351748660043,31.59440566524087,16.558984814380857,514,182.58121417883052,FAILURE
54,5.187511827200648,56.48561354893337,37.889481546489854,10.073515565725291,139.6722977294415,982,224.83719616365113,WARNING
100,5.833619518078509,28.76457441228675,15.212727501711125,67.09544728873038,197.23226154437634,554,231.49106567019504,WARNING
51,6.869460307710903,57.83053215822392,56.93615006364777,40.305295118218275,157.54018410512924,342,242.57953661325956,WARNING
72,1.4480126437568175,35.542025497481305,25.514531108241503,23.304057092399155,171.20145874041484,676,250.17509914466194,NORMAL
94,7.352544283898741,37.472411443745614,84.85806805422807,20.32783906153391,185.88048601831915,314,222.37702643738916,FAILURE
64,2.7866430582873902,48.9623114127545,74.31050670525823,84.88048321705203,245.5781183111543,153,222.02228276241888,WARNING
67,1.2968306747225355,72.08869473537311,78.12709479805054,37.82504753136184,137.89792223258846,932,248.402682989223,WARNING
61,0.6952838415658602,72.93871506857306,23.821394948994865,66.13496226650446,12.120954092845334,273,197.218081849488,WARNING
70,0.9522643397080599,71.92056149459825,24.99763032751202,91.9051257160487,234.1686701173157,653,223.406914821332,WARNING
79,2.4986021332281947,67.9302100155989,57.30085894820673,12.298790281120642,241.78811635062243,183,251.01497706242355,WARNING
86,7.392125635007999,49.816520949942685,85.310050327741,40.463790403851974,21.530639372406785,436,194.53083405252252,FAILURE
53,1.8940352628347346,35.15837801589316,12.588330683230186,97.56286850953339,16.556764548036625,477,219.77681202196118,NORMAL
95,5.602744905479547,94.38647081703746,98.79948291343766,37.01968619850922,62.691660999783444,304,213.36751635263403,FAILURE
86,1.6090529688621058,41.6234745199855,73.9373732352735,18.211409152484908,61.59171317243354,719,229.27856066814857,NORMAL
40,2.1775636283472197,59.57779802567836,71.90699536954084,64.37870549455651,54.549086528800764,477,180.9623566018834,FAILURE
83,5.596517711161923,89.88004046440341,40.177855690847665,67.88175369172745,152.4916545406308,209,213.8160007278609,FAILURE
64,4.510187163847986,60.065753367104136,44.669275765420984,89.85518390208905,218.00445849800974,1000,181.34867359037304,FAILURE
76,6.997406064073967,26.957083072400074,50.151825941370255,14.858220530877102,238.28429425354943,350,230.50135107814896,WARNING
55,0.9070448292230204,23.60663096853255,70.83310242621098,37.25014365950777,183.7925258648002,774,240.91727673254982,WARNING
53,0.25671664782525583,79.23166926465996,54.31522537295574,67.43662250670661,196.67338064832683,485,184.9237004021326,FAILURE
99,8.271262773742938,83.23815601181568,60.25348278142281,88.68047130906118,48.65833861409028,316,240.73378201432624,FAILURE
